order_id,order_date,customer_id,seller_id,order_status
107,05-07-2025,2150,22,Shipped
108,07-01-2025,7060,3,Returned
109,04-05-2024,3422,40,Delivered
110,09-11-2023,8152,7,Delivered
111,20-10-2023,5072,36,Delivered
112,18-10-2025,1542,30,Cancelled
113,14-12-2023,4844,11,Delivered
114,27-07-2024,5953,23,Delivered
115,26-05-2023,2936,30,Shipped
116,27-08-2025,4195,29,Delivered
117,11-09-2023,8000,3,Cancelled
118,10-08-2024,6569,27,Delivered
119,21-06-2025,6009,33,Cancelled
120,04-02-2025,1368,27,Pending
121,22-06-2024,700,40,Delivered
122,16-05-2024,131,10,Delivered
123,18-08-2024,6158,11,Returned
124,30-05-2023,3655,25,Pending
125,11-07-2023,5717,30,Pending
126,31-12-2025,7617,7,Delivered
127,05-01-2024,1776,26,Returned
128,13-02-2024,6579,22,Delivered
129,11-10-2024,5611,39,Pending
130,11-03-2024,7803,8,Shipped
131,19-07-2025,628,35,Delivered
132,20-08-2025,2385,14,Cancelled
133,06-03-2023,6231,4,Cancelled
134,30-05-2025,7757,14,Delivered
135,09-03-2024,376,28,Shipped
136,31-05-2024,2886,6,Delivered
137,22-05-2023,4488,26,Delivered
138,02-09-2024,7397,27,Delivered
139,15-06-2024,3016,4,Delivered
140,27-05-2025,5604,20,Delivered
141,11-02-2024,5723,27,Pending
142,31-08-2025,8774,11,Returned
143,27-12-2024,6376,1,Delivered
144,09-06-2023,2370,21,Cancelled
145,30-01-2023,2466,30,Delivered
146,19-10-2025,5185,8,Returned
147,22-06-2024,8532,1,Pending
148,15-09-2023,7362,38,Delivered
149,16-03-2023,3582,13,Returned
150,07-12-2023,6186,14,Cancelled
151,05-03-2024,3132,37,Delivered
152,28-01-2025,5961,2,Shipped
153,20-09-2024,8227,8,Pending
154,22-07-2025,6784,27,Cancelled
155,22-12-2024,8888,28,Cancelled
156,21-08-2023,2881,30,Returned
157,03-02-2025,2899,36,Delivered
158,11-06-2025,6252,19,Returned
159,03-08-2024,1626,6,Delivered
160,03-07-2023,270,40,Returned
161,01-08-2023,8134,40,Delivered
162,28-06-2025,8248,38,Delivered
163,16-08-2024,6892,14,Delivered
164,20-07-2025,9038,25,Delivered
165,05-02-2024,7694,8,Cancelled
166,08-08-2025,6766,26,Delivered
167,06-02-2025,3669,33,Shipped
168,02-07-2024,4334,20,Returned
169,09-05-2024,69,27,Delivered
170,01-02-2023,431,10,Cancelled
171,28-11-2025,5202,22,Delivered
172,30-05-2025,3963,36,Returned
173,30-01-2024,6445,4,Returned
174,21-09-2023,6397,12,Returned
175,13-10-2024,8476,11,Returned
176,18-04-2024,1632,9,Delivered
177,13-03-2025,4264,36,Delivered
178,22-10-2024,3339,6,Delivered
179,22-02-2023,7167,1,Delivered
180,26-02-2023,8908,6,Returned
181,21-02-2023,2139,30,Cancelled
182,18-01-2024,3928,15,Shipped
183,01-02-2024,8773,16,Returned
184,17-06-2024,848,18,Delivered
185,22-10-2023,380,38,Delivered
186,16-08-2023,7523,39,Delivered
187,08-08-2023,2324,19,Shipped
188,05-01-2024,1521,5,Pending
189,10-01-2025,3408,26,Delivered
190,02-10-2025,360,27,Delivered
191,23-09-2025,1251,14,Returned
192,07-02-2025,5138,29,Delivered
193,04-01-2024,4895,1,Delivered
194,06-03-2023,1921,22,Cancelled
195,18-09-2025,8954,1,Delivered
196,04-12-2025,4170,8,Delivered
197,02-03-2023,8782,2,Delivered
198,18-03-2024,5979,8,Delivered
199,02-03-2023,5367,9,Delivered
200,20-06-2023,2074,18,Shipped
201,13-09-2025,3265,6,Cancelled
202,25-08-2024,7653,32,Returned
203,15-11-2025,6553,13,Shipped
204,21-12-2023,3243,18,Returned
205,30-07-2023,5106,11,Delivered
206,26-09-2025,7102,29,Returned
207,10-07-2024,5223,40,Delivered
208,23-02-2025,7034,13,Cancelled
209,04-02-2025,1053,29,Delivered
210,11-03-2023,8379,17,Returned
211,24-08-2024,8692,23,Returned
212,03-03-2023,1879,12,Cancelled
213,29-05-2025,3047,23,Delivered
214,29-05-2023,3526,24,Cancelled
215,25-10-2023,5152,8,Delivered
216,14-10-2024,179,22,Delivered
217,11-08-2025,5269,15,Delivered
218,28-02-2025,4647,39,Delivered
219,15-12-2025,3563,7,Shipped
220,03-06-2023,6910,28,Cancelled
221,17-10-2024,3247,13,Delivered
222,08-10-2025,8170,3,Shipped
223,12-05-2025,1954,8,Pending
224,17-12-2023,5356,38,Returned
225,29-04-2024,349,19,Delivered
226,10-01-2023,7566,19,Delivered
227,04-04-2025,607,35,Delivered
228,21-11-2024,267,5,Pending
229,14-07-2023,6801,20,Shipped
230,11-10-2024,5666,26,Delivered
231,03-10-2024,8091,40,Delivered
232,16-03-2025,4890,30,Pending
233,06-09-2023,6127,40,Delivered
234,01-03-2023,3671,4,Delivered
235,12-10-2023,1723,21,Returned
236,08-04-2024,2789,6,Delivered
237,25-01-2025,8808,1,Delivered
238,15-06-2024,706,8,Delivered
239,15-09-2024,1230,17,Cancelled
240,16-02-2025,4423,11,Delivered
241,01-08-2025,1965,9,Cancelled
242,31-10-2023,6772,29,Delivered
243,04-12-2025,8645,16,Pending
244,30-09-2025,4597,21,Pending
245,07-04-2024,1505,17,Shipped
246,19-06-2023,5784,36,Delivered
247,26-02-2024,1279,5,Pending
248,04-05-2023,3482,1,Delivered
249,16-08-2025,6309,13,Pending
250,03-08-2023,5578,14,Cancelled
251,30-09-2024,7439,10,Delivered
252,24-09-2023,3585,24,Returned
253,15-07-2025,8413,13,Returned
254,20-01-2024,1125,18,Returned
255,03-12-2023,5033,37,Delivered
256,29-10-2023,7553,7,Delivered
257,07-05-2024,272,30,Delivered
258,30-06-2024,469,31,Pending
259,21-12-2024,4352,8,Delivered
260,26-12-2024,7070,14,Delivered
261,23-03-2025,8228,28,Cancelled
262,19-04-2023,7231,18,Cancelled
263,20-07-2023,806,25,Returned
264,02-02-2024,4817,13,Returned
265,28-12-2023,4521,34,Pending
266,28-11-2025,7104,7,Delivered
267,24-05-2024,1820,15,Delivered
268,19-04-2023,585,37,Shipped
269,03-05-2024,1079,35,Delivered
270,18-07-2024,3711,40,Returned
271,13-03-2025,6438,7,Delivered
272,03-07-2024,8113,14,Delivered
273,21-02-2024,5696,19,Shipped
274,07-01-2023,1545,12,Pending
275,17-09-2024,3910,11,Cancelled
276,23-05-2023,2731,12,Cancelled
277,21-07-2025,2324,1,Pending
278,26-05-2025,5474,2,Delivered
279,24-06-2024,1262,11,Delivered
280,22-12-2024,7764,38,Delivered
281,27-09-2025,4056,31,Delivered
282,03-04-2023,285,37,Shipped
283,12-04-2024,8607,33,Delivered
284,28-10-2023,1539,7,Shipped
285,18-11-2024,7416,32,Cancelled
286,11-06-2024,7971,17,Cancelled
287,28-07-2025,223,23,Shipped
288,14-11-2024,8485,39,Pending
289,19-08-2023,4423,34,Delivered
290,30-10-2023,6723,15,Delivered
291,01-01-2025,8157,2,Delivered
292,01-06-2025,5889,14,Delivered
293,01-02-2024,6190,7,Shipped
294,09-07-2025,8633,12,Shipped
295,15-12-2024,5427,26,Returned
296,19-07-2024,5068,13,Delivered
297,01-12-2025,5625,40,Delivered
298,06-06-2025,7456,37,Cancelled
299,13-08-2024,1806,1,Pending
300,29-10-2023,7641,10,Shipped
301,30-11-2023,4975,32,Shipped
302,13-05-2023,4829,1,Pending
303,25-03-2023,3561,19,Delivered
304,19-04-2023,8002,20,Delivered
305,31-05-2025,5772,1,Delivered
306,29-05-2024,2257,23,Shipped
307,25-10-2025,2541,6,Shipped
308,20-10-2023,3224,28,Delivered
309,18-08-2024,3586,3,Pending
310,27-12-2024,4076,25,Returned
311,28-03-2025,1608,17,Shipped
312,28-09-2024,2840,37,Returned
313,22-10-2024,2281,13,Shipped
314,05-10-2023,6821,36,Delivered
315,08-09-2024,4998,6,Shipped
316,02-08-2025,8943,12,Returned
317,13-06-2025,1574,9,Pending
318,03-10-2024,8255,23,Pending
319,26-12-2024,7007,30,Returned
320,20-04-2025,7558,2,Delivered
321,12-05-2025,1449,9,Shipped
322,11-05-2024,8392,24,Delivered
323,23-08-2024,878,26,Delivered
324,05-04-2025,98,30,Pending
325,22-04-2023,1388,4,Shipped
326,08-08-2023,5464,39,Delivered
327,18-08-2024,7889,22,Delivered
328,06-09-2023,8370,4,Delivered
329,23-11-2025,2362,36,Pending
330,07-10-2023,3663,10,Shipped
331,28-09-2024,106,32,Delivered
332,23-08-2023,1101,1,Delivered
333,05-09-2023,8517,7,Delivered
334,23-02-2024,1698,31,Delivered
335,01-11-2025,7272,26,Delivered
336,07-09-2023,4914,26,Pending
337,12-01-2024,3850,35,Shipped
338,18-06-2025,2019,28,Delivered
339,14-02-2023,3028,10,Delivered
340,16-12-2023,8381,35,Delivered
341,02-09-2025,7872,19,Shipped
342,24-07-2023,8077,24,Shipped
343,12-03-2025,6322,7,Pending
344,03-05-2025,6961,10,Delivered
345,03-08-2024,7489,8,Returned
346,23-01-2023,4961,3,Pending
347,29-03-2023,5812,9,Pending
348,27-07-2025,4537,1,Delivered
349,02-01-2025,8203,33,Delivered
350,15-12-2024,8603,25,Delivered
351,24-12-2023,2481,23,Cancelled
352,30-07-2025,2295,18,Shipped
353,17-03-2025,1118,31,Returned
354,24-08-2025,2956,37,Shipped
355,23-09-2023,5310,38,Cancelled
356,06-04-2025,1108,3,Delivered
357,22-11-2023,3797,7,Delivered
358,19-10-2025,7806,21,Delivered
359,29-04-2024,1728,12,Returned
360,10-05-2025,1055,4,Shipped
361,23-08-2023,614,5,Pending
362,05-02-2025,483,12,Cancelled
363,09-08-2023,7365,25,Delivered
364,14-02-2024,3207,17,Pending
365,15-06-2025,4688,15,Delivered
366,28-11-2023,7112,34,Delivered
367,26-06-2023,398,7,Delivered
368,10-03-2023,2303,1,Cancelled
369,15-04-2025,8956,5,Cancelled
370,15-01-2024,8654,32,Delivered
371,29-02-2024,7762,33,Cancelled
372,31-12-2024,2259,5,Pending
373,25-05-2025,6163,5,Delivered
374,18-09-2023,8475,20,Delivered
375,30-08-2023,8171,15,Delivered
376,08-11-2024,370,15,Shipped
377,29-05-2024,6397,23,Delivered
378,20-11-2023,4720,5,Delivered
379,26-11-2025,8193,20,Returned
380,27-04-2023,8945,8,Pending
381,22-06-2024,492,3,Cancelled
382,13-05-2025,4275,13,Cancelled
383,02-05-2023,2283,14,Cancelled
384,08-05-2023,3861,32,Delivered
385,14-03-2023,5667,5,Returned
386,15-06-2023,9035,31,Delivered
387,08-07-2024,684,7,Delivered
388,14-10-2025,8317,15,Cancelled
389,02-06-2025,7825,20,Delivered
390,13-02-2023,907,2,Delivered
391,30-12-2025,6216,2,Pending
392,17-04-2023,6343,25,Delivered
393,30-05-2025,6994,36,Delivered
394,25-08-2023,7176,8,Cancelled
395,21-12-2024,3173,22,Returned
396,29-04-2023,3903,15,Delivered
397,21-01-2023,3722,27,Delivered
398,31-01-2023,4095,4,Delivered
399,27-04-2023,2077,29,Delivered
400,01-08-2024,717,21,Cancelled
401,15-05-2024,4791,9,Returned
402,07-09-2025,2006,5,Delivered
403,27-05-2024,8908,14,Pending
404,01-01-2025,3610,29,Shipped
405,21-01-2025,9035,19,Delivered
406,14-12-2025,4384,21,Delivered
407,21-04-2023,5680,27,Pending
408,26-07-2024,1286,14,Delivered
409,02-12-2025,3778,20,Delivered
410,09-09-2023,6102,10,Delivered
411,26-04-2024,7214,30,Delivered
412,13-02-2023,8175,3,Shipped
413,23-07-2024,6295,20,Delivered
414,03-05-2023,4573,40,Returned
415,11-10-2025,309,25,Returned
416,28-06-2025,728,15,Delivered
417,15-02-2025,3022,28,Delivered
418,16-09-2024,513,35,Cancelled
419,23-02-2023,5509,17,Delivered
420,26-02-2023,5587,40,Returned
421,25-05-2025,936,7,Returned
422,11-08-2024,8762,30,Returned
423,28-11-2025,4262,11,Returned
424,15-08-2025,3904,9,Delivered
425,28-07-2024,4496,6,Delivered
426,28-08-2024,5531,37,Returned
427,21-03-2023,4494,24,Shipped
428,28-05-2024,203,8,Shipped
429,19-10-2024,4334,12,Pending
430,05-08-2025,283,29,Delivered
431,13-08-2025,607,23,Pending
432,22-03-2024,6695,4,Delivered
433,20-07-2024,9035,21,Delivered
434,21-06-2025,2946,17,Shipped
435,15-06-2024,8109,9,Delivered
436,24-12-2023,2407,40,Delivered
437,21-04-2024,1876,3,Delivered
438,03-11-2025,7215,38,Cancelled
439,27-03-2023,3735,4,Shipped
440,11-06-2024,265,23,Delivered
441,25-04-2024,5730,7,Delivered
442,04-11-2025,7272,8,Delivered
443,30-04-2024,3344,21,Cancelled
444,01-05-2025,1170,28,Shipped
445,21-10-2023,405,21,Cancelled
446,17-11-2024,6687,24,Pending
447,25-08-2024,511,11,Cancelled
448,02-04-2023,4766,10,Delivered
449,06-08-2023,3465,21,Cancelled
450,16-03-2024,6207,38,Delivered
451,04-11-2023,6244,6,Delivered
452,04-04-2024,8250,37,Returned
453,06-09-2023,8647,4,Pending
454,10-12-2025,8526,29,Cancelled
455,05-07-2024,3196,37,Shipped
456,14-05-2024,5386,16,Cancelled
457,17-04-2024,7469,21,Delivered
458,08-05-2024,7292,27,Cancelled
459,13-06-2023,5767,36,Delivered
460,11-01-2025,7933,39,Delivered
461,08-07-2025,6863,15,Delivered
462,16-05-2024,6679,38,Delivered
463,17-06-2024,4701,22,Cancelled
464,30-08-2023,1336,27,Returned
465,31-10-2025,2432,37,Pending
466,10-02-2024,2948,30,Delivered
467,08-12-2023,1980,27,Shipped
468,20-08-2025,1655,9,Delivered
469,02-06-2025,393,11,Delivered
470,29-09-2023,8437,34,Returned
471,14-05-2025,5806,9,Returned
472,09-05-2024,4807,8,Cancelled
473,20-11-2024,1766,3,Delivered
474,27-12-2024,7355,27,Pending
475,11-06-2025,4740,31,Delivered
476,11-01-2024,8346,6,Delivered
477,16-01-2023,6061,30,Returned
478,18-10-2024,7186,12,Shipped
479,18-07-2023,3806,20,Pending
480,29-11-2024,792,37,Returned
481,07-08-2024,5289,25,Cancelled
482,01-01-2024,2347,3,Delivered
483,31-05-2025,8506,18,Cancelled
484,23-07-2023,5691,19,Delivered
485,31-08-2023,4717,18,Pending
486,17-06-2025,3665,11,Shipped
487,15-06-2024,1739,15,Shipped
488,16-10-2023,1573,14,Delivered
489,26-02-2023,652,35,Delivered
490,14-01-2023,8002,2,Cancelled
491,21-02-2024,4618,37,Returned
492,30-06-2025,8535,9,Pending
493,27-08-2024,1796,8,Pending
494,04-06-2025,8082,17,Delivered
495,08-10-2023,4563,8,Cancelled
496,11-06-2023,3645,5,Cancelled
497,17-11-2023,8308,22,Shipped
498,17-07-2025,8403,5,Cancelled
499,20-03-2023,7101,7,Cancelled
500,25-01-2024,584,1,Delivered
501,08-10-2023,6164,15,Delivered
502,27-06-2024,7703,10,Pending
503,19-01-2024,8139,19,Delivered
504,11-02-2024,1454,34,Delivered
505,07-01-2023,7116,5,Pending
506,03-03-2024,2919,3,Returned
507,22-06-2024,6231,38,Delivered
508,15-12-2024,7934,34,Delivered
509,06-09-2024,3800,19,Pending
510,30-09-2025,6426,39,Cancelled
511,12-09-2025,4841,7,Delivered
512,19-08-2023,4707,27,Pending
513,28-10-2024,4054,28,Delivered
514,27-12-2023,7615,21,Delivered
515,12-12-2024,6523,9,Pending
516,28-09-2025,6751,16,Delivered
517,18-08-2024,4390,33,Delivered
518,17-04-2025,997,36,Cancelled
519,19-06-2024,5204,27,Returned
520,24-06-2025,6967,26,Shipped
521,22-04-2023,4397,32,Delivered
522,26-11-2024,748,20,Pending
523,19-04-2025,3626,37,Delivered
524,27-02-2024,1808,40,Cancelled
525,22-09-2023,8844,2,Delivered
526,15-02-2025,1479,22,Cancelled
527,10-05-2023,807,34,Delivered
528,11-01-2025,8774,13,Delivered
529,21-03-2025,3758,19,Delivered
530,04-02-2025,5432,27,Delivered
531,24-05-2024,224,3,Delivered
532,14-12-2025,1680,33,Returned
533,20-09-2025,693,11,Shipped
534,09-09-2024,398,15,Delivered
535,11-03-2023,4464,8,Returned
536,31-03-2025,2150,18,Delivered
537,06-06-2023,1211,33,Returned
538,11-02-2023,242,35,Delivered
539,15-07-2023,6409,13,Shipped
540,24-10-2024,6966,33,Delivered
541,10-09-2024,4491,30,Delivered
542,24-07-2023,4330,37,Pending
543,10-02-2025,4772,28,Delivered
544,31-03-2024,6658,36,Shipped
545,16-09-2025,4660,35,Delivered
546,22-02-2025,283,32,Returned
547,02-02-2025,8956,7,Pending
548,03-04-2024,408,26,Delivered
549,04-07-2025,6060,31,Delivered
550,28-09-2024,5447,10,Delivered
551,15-07-2023,2774,14,Pending
552,26-05-2024,1375,10,Returned
553,27-08-2025,8576,37,Delivered
554,01-05-2023,8085,17,Returned
555,29-09-2024,5536,10,Delivered
556,20-10-2024,6661,1,Shipped
557,04-03-2024,8008,35,Pending
558,03-10-2024,3863,21,Pending
559,16-09-2025,8429,36,Delivered
560,04-08-2023,6975,5,Returned
561,18-09-2023,224,11,Delivered
562,07-12-2023,3234,29,Delivered
563,21-03-2023,6950,32,Delivered
564,10-12-2025,7983,9,Returned
565,28-03-2025,152,19,Delivered
566,10-06-2025,4821,18,Cancelled
567,31-01-2025,2719,10,Shipped
568,07-12-2025,3350,40,Cancelled
569,29-11-2025,4117,31,Pending
570,07-03-2024,5410,9,Delivered
571,09-12-2025,7764,1,Cancelled
572,02-05-2025,2937,10,Pending
573,18-05-2023,92,20,Delivered
574,13-02-2024,1538,35,Pending
575,08-11-2024,1552,4,Pending
576,17-11-2023,1094,23,Delivered
577,07-12-2024,232,13,Shipped
578,05-08-2024,6983,38,Shipped
579,22-01-2025,6608,17,Delivered
580,08-06-2023,2498,7,Delivered
581,27-07-2024,2922,17,Delivered
582,17-09-2023,8558,38,Returned
583,07-11-2024,4543,40,Pending
584,04-03-2024,2755,1,Delivered
585,19-03-2024,1497,40,Delivered
586,21-10-2023,2701,31,Delivered
587,24-10-2024,1275,4,Delivered
588,13-11-2025,7204,28,Pending
589,31-10-2024,4958,33,Delivered
590,08-05-2024,6443,25,Returned
591,29-08-2025,5817,20,Cancelled
592,22-12-2025,1282,39,Delivered
593,07-12-2023,4551,10,Returned
594,23-06-2025,8030,17,Delivered
595,10-06-2025,5705,12,Delivered
596,18-01-2025,7637,23,Returned
597,13-03-2024,3130,25,Cancelled
598,02-01-2024,175,13,Pending
599,09-01-2025,8619,13,Delivered
600,27-09-2024,5382,7,Cancelled
601,03-06-2024,8238,1,Shipped
602,10-03-2023,4505,31,Returned
603,31-03-2023,4146,18,Delivered
604,04-03-2023,7714,39,Pending
605,01-10-2025,2848,31,Delivered
606,20-03-2023,6055,2,Delivered
607,29-12-2023,2157,6,Returned
608,02-09-2023,919,29,Delivered
609,05-10-2024,1598,35,Shipped
610,02-02-2024,274,22,Cancelled
611,13-12-2023,6001,34,Delivered
612,05-04-2025,6822,4,Delivered
613,31-01-2024,8217,10,Shipped
614,21-06-2023,2828,29,Delivered
615,18-07-2024,3256,33,Returned
616,21-12-2023,53,20,Shipped
617,19-12-2024,1929,22,Pending
618,26-06-2023,7586,6,Delivered
619,05-07-2023,2991,6,Delivered
620,12-10-2024,330,11,Delivered
621,21-03-2024,6137,30,Delivered
622,20-05-2024,5043,13,Delivered
623,27-09-2024,874,25,Shipped
624,31-12-2023,4571,9,Cancelled
625,27-04-2025,3703,13,Shipped
626,13-02-2024,2902,19,Shipped
627,19-06-2025,4335,6,Pending
628,28-12-2024,5958,23,Pending
629,16-12-2023,602,38,Returned
630,15-11-2023,8814,37,Delivered
631,07-06-2025,5684,19,Delivered
632,01-12-2024,8254,36,Shipped
633,05-07-2023,8410,14,Shipped
634,22-03-2024,7663,17,Delivered
635,25-08-2023,8472,12,Pending
636,14-10-2023,7656,38,Cancelled
637,01-02-2025,6192,38,Delivered
638,22-10-2024,1714,23,Delivered
639,22-11-2023,6905,31,Cancelled
640,20-11-2024,1642,12,Cancelled
641,19-09-2024,2667,30,Delivered
642,14-02-2023,7193,40,Pending
643,09-06-2025,6543,31,Delivered
644,01-06-2024,6115,39,Cancelled
645,15-09-2025,6573,20,Delivered
646,24-04-2024,8307,7,Returned
647,22-05-2025,4414,37,Returned
648,28-02-2023,2688,33,Delivered
649,07-09-2024,8587,13,Delivered
650,24-09-2023,5459,4,Delivered
651,25-09-2024,2318,23,Pending
652,21-03-2025,2709,30,Delivered
653,30-10-2023,3284,12,Shipped
654,21-09-2024,1317,12,Delivered
655,21-02-2024,7153,6,Delivered
656,12-11-2023,6132,1,Pending
657,23-11-2023,5648,7,Pending
658,18-03-2025,3482,31,Returned
659,07-08-2025,3978,7,Returned
660,21-09-2023,5216,9,Returned
661,31-10-2024,4640,28,Returned
662,29-12-2025,1175,23,Pending
663,25-02-2023,3633,39,Delivered
664,26-04-2024,6048,24,Cancelled
665,23-10-2025,27,40,Returned
666,08-06-2023,3770,9,Pending
667,20-01-2024,725,14,Shipped
668,10-06-2025,1522,22,Returned
669,04-01-2024,6975,10,Shipped
670,29-09-2024,6338,31,Delivered
671,18-06-2024,6910,12,Delivered
672,26-03-2025,8477,7,Pending
673,19-06-2023,5674,7,Returned
674,26-01-2023,2636,21,Delivered
675,04-11-2025,6292,30,Delivered
676,22-09-2025,6582,28,Delivered
677,12-09-2024,6963,17,Delivered
678,11-07-2025,8226,24,Pending
679,17-11-2024,8766,24,Delivered
680,02-01-2024,6948,35,Returned
681,13-06-2023,2464,1,Cancelled
682,12-06-2024,3238,33,Pending
683,09-06-2025,796,30,Shipped
684,23-03-2023,1992,32,Pending
685,21-01-2025,821,39,Cancelled
686,31-05-2024,6975,22,Shipped
687,18-02-2023,8893,18,Delivered
688,23-08-2024,5848,27,Delivered
689,03-07-2025,5319,20,Delivered
690,17-08-2023,5854,3,Returned
691,24-05-2024,2872,6,Delivered
692,16-09-2023,2370,32,Returned
693,16-07-2024,5659,30,Delivered
694,08-12-2025,7511,3,Delivered
695,30-10-2024,6108,3,Delivered
696,27-07-2023,6258,33,Delivered
697,22-11-2024,4948,28,Returned
698,15-02-2023,3014,17,Delivered
699,06-06-2025,1908,13,Shipped
700,12-09-2024,8423,35,Delivered
701,11-04-2023,6132,37,Pending
702,16-03-2024,7159,18,Delivered
703,20-07-2024,8218,3,Returned
704,07-01-2024,4669,18,Delivered
705,13-04-2025,3394,2,Returned
706,23-09-2023,4502,18,Pending
707,13-10-2024,1592,15,Delivered
708,07-02-2023,5319,15,Delivered
709,12-08-2024,7548,38,Returned
710,04-11-2024,8872,25,Pending
711,26-01-2023,5619,22,Cancelled
712,10-12-2024,7281,10,Pending
713,18-10-2025,3452,35,Delivered
714,09-03-2025,4190,26,Delivered
715,10-06-2023,7972,36,Cancelled
716,20-06-2023,3401,34,Cancelled
717,14-09-2024,4782,21,Pending
718,15-08-2025,485,10,Delivered
719,21-12-2024,7071,27,Delivered
720,04-08-2024,8041,16,Returned
721,27-09-2023,6201,39,Delivered
722,18-07-2023,6484,14,Delivered
723,15-08-2023,4741,12,Delivered
724,01-04-2025,9013,27,Cancelled
725,21-03-2024,6852,39,Shipped
726,16-10-2024,5951,7,Cancelled
727,25-10-2025,8776,35,Returned
728,06-04-2024,6619,32,Pending
729,09-08-2024,7364,11,Delivered
730,30-03-2025,4726,1,Cancelled
731,08-08-2025,2823,7,Returned
732,06-05-2025,6853,27,Delivered
733,01-03-2023,3674,9,Delivered
734,17-04-2025,375,21,Delivered
735,07-12-2023,7732,6,Cancelled
736,16-02-2023,6379,36,Delivered
737,27-11-2023,7501,24,Delivered
738,25-12-2023,7737,13,Cancelled
739,29-09-2023,4801,5,Delivered
740,28-02-2024,7556,30,Delivered
741,27-06-2025,3964,12,Pending
742,21-10-2025,1822,39,Cancelled
743,23-11-2023,4012,30,Delivered
744,15-01-2023,530,27,Pending
