shipping_id,order_id,shipping_date,return_date,shipping_provider,shipping_status
203,203,20-11-2025,,Xpressbees,In Transit
204,204,23-12-2023,02-01-2024,Xpressbees,Returned
205,205,01-08-2023,,Delhivery,Delivered
206,206,29-09-2025,12-10-2025,DTDC,Returned
207,207,13-07-2024,,Bluedart,Delivered
208,208,,,,Cancelled
209,209,08-02-2025,,Ekart,Delivered
210,210,16-03-2023,28-03-2023,India Post,Returned
211,211,25-08-2024,02-09-2024,Bluedart,Returned
212,212,,,,Cancelled
213,213,31-05-2025,,Amazon Logistics,Delivered
214,214,,,,Cancelled
215,215,30-10-2023,,Ekart,Delivered
216,216,18-10-2024,,DTDC,Delivered
217,217,16-08-2025,,Delhivery,Delivered
218,218,01-03-2025,,Ekart,Delivered
219,219,19-12-2025,,Delhivery,In Transit
220,220,,,,Cancelled
221,221,18-10-2024,,DTDC,Delivered
222,222,09-10-2025,,Amazon Logistics,In Transit
223,223,15-05-2025,,Delhivery,Pending
224,224,20-12-2023,23-12-2023,Xpressbees,Returned
225,225,01-05-2024,,Ekart,Delivered
226,226,14-01-2023,,Ekart,Delivered
227,227,05-04-2025,,Amazon Logistics,Delivered
228,228,23-11-2024,,Bluedart,Pending
229,229,15-07-2023,,Ekart,In Transit
230,230,13-10-2024,,Delhivery,Delivered
231,231,07-10-2024,,Delhivery,Delivered
232,232,17-03-2025,,Amazon Logistics,Pending
233,233,07-09-2023,,Amazon Logistics,Delivered
234,234,03-03-2023,,Ekart,Delivered
235,235,16-10-2023,31-10-2023,DTDC,Returned
236,236,11-04-2024,,Ekart,Delivered
237,237,28-01-2025,,Bluedart,Delivered
238,238,20-06-2024,,Xpressbees,Delivered
239,239,,,,Cancelled
240,240,18-02-2025,,DTDC,Delivered
241,241,,,,Cancelled
242,242,04-11-2023,,India Post,Delivered
243,243,05-12-2025,,India Post,Pending
244,244,05-10-2025,,Delhivery,Pending
245,245,10-04-2024,,DTDC,In Transit
246,246,20-06-2023,,Xpressbees,Delivered
247,247,01-03-2024,,Bluedart,Pending
248,248,05-05-2023,,Bluedart,Delivered
249,249,17-08-2025,,Bluedart,Pending
250,250,,,,Cancelled
251,251,01-10-2024,,DTDC,Delivered
252,252,26-09-2023,02-10-2023,Ekart,Returned
253,253,17-07-2025,27-07-2025,Bluedart,Returned
254,254,23-01-2024,27-01-2024,Amazon Logistics,Returned
255,255,05-12-2023,,DTDC,Delivered
256,256,03-11-2023,,Amazon Logistics,Delivered
257,257,09-05-2024,,Xpressbees,Delivered
258,258,01-07-2024,,Amazon Logistics,Pending
259,259,23-12-2024,,Ekart,Delivered
260,260,28-12-2024,,Bluedart,Delivered
261,261,,,,Cancelled
262,262,,,,Cancelled
263,263,23-07-2023,26-07-2023,Ekart,Returned
264,264,06-02-2024,19-02-2024,Delhivery,Returned
265,265,02-01-2024,,India Post,Pending
266,266,30-11-2025,,India Post,Delivered
267,267,27-05-2024,,Bluedart,Delivered
268,268,21-04-2023,,DTDC,In Transit
269,269,05-05-2024,,Delhivery,Delivered
270,270,21-07-2024,05-08-2024,Ekart,Returned
271,271,16-03-2025,,Xpressbees,Delivered
272,272,06-07-2024,,Ekart,Delivered
273,273,25-02-2024,,Bluedart,In Transit
274,274,08-01-2023,,Ekart,Pending
275,275,,,,Cancelled
276,276,,,,Cancelled
277,277,24-07-2025,,Delhivery,Pending
278,278,29-05-2025,,DTDC,Delivered
279,279,25-06-2024,,Bluedart,Delivered
280,280,26-12-2024,,Delhivery,Delivered
281,281,29-09-2025,,Delhivery,Delivered
282,282,06-04-2023,,Bluedart,In Transit
283,283,14-04-2024,,Ekart,Delivered
284,284,30-10-2023,,Delhivery,In Transit
285,285,,,,Cancelled
286,286,,,,Cancelled
287,287,01-08-2025,,Xpressbees,In Transit
288,288,18-11-2024,,India Post,Pending
289,289,21-08-2023,,Bluedart,Delivered
290,290,03-11-2023,,India Post,Delivered
291,291,05-01-2025,,Ekart,Delivered
292,292,02-06-2025,,Ekart,Delivered
293,293,04-02-2024,,India Post,In Transit
294,294,13-07-2025,,DTDC,In Transit
295,295,16-12-2024,23-12-2024,Xpressbees,Returned
296,296,22-07-2024,,Xpressbees,Delivered
297,297,04-12-2025,,Bluedart,Delivered
298,298,,,,Cancelled
299,299,16-08-2024,,India Post,Pending
300,300,31-10-2023,,India Post,In Transit
301,301,01-12-2023,,Delhivery,In Transit
302,302,18-05-2023,,Xpressbees,Pending
303,303,29-03-2023,,Delhivery,Delivered
304,304,21-04-2023,,Delhivery,Delivered
305,305,03-06-2025,,DTDC,Delivered
306,306,02-06-2024,,DTDC,In Transit
307,307,26-10-2025,,Ekart,In Transit
308,308,23-10-2023,,Bluedart,Delivered
309,309,22-08-2024,,Amazon Logistics,Pending
310,310,01-01-2025,14-01-2025,Ekart,Returned
311,311,29-03-2025,,India Post,In Transit
312,312,30-09-2024,07-10-2024,Xpressbees,Returned
313,313,27-10-2024,,DTDC,In Transit
314,314,09-10-2023,,Bluedart,Delivered
315,315,09-09-2024,,Amazon Logistics,In Transit
316,316,06-08-2025,09-08-2025,Amazon Logistics,Returned
317,317,16-06-2025,,Ekart,Pending
318,318,06-10-2024,,Bluedart,Pending
319,319,31-12-2024,12-01-2025,Delhivery,Returned
320,320,22-04-2025,,Amazon Logistics,Delivered
321,321,13-05-2025,,Xpressbees,In Transit
322,322,14-05-2024,,Delhivery,Delivered
323,323,25-08-2024,,Delhivery,Delivered
324,324,06-04-2025,,Amazon Logistics,Pending
325,325,25-04-2023,,Amazon Logistics,In Transit
326,326,11-08-2023,,Bluedart,Delivered
327,327,22-08-2024,,DTDC,Delivered
328,328,07-09-2023,,India Post,Delivered
329,329,28-11-2025,,Ekart,Pending
330,330,12-10-2023,,Amazon Logistics,In Transit
331,331,03-10-2024,,Xpressbees,Delivered
332,332,28-08-2023,,Bluedart,Delivered
333,333,08-09-2023,,DTDC,Delivered
334,334,26-02-2024,,Delhivery,Delivered
335,335,06-11-2025,,India Post,Delivered
336,336,09-09-2023,,Ekart,Pending
337,337,15-01-2024,,Delhivery,In Transit
338,338,21-06-2025,,India Post,Delivered
339,339,19-02-2023,,Ekart,Delivered
340,340,19-12-2023,,Xpressbees,Delivered
341,341,07-09-2025,,Ekart,In Transit
342,342,29-07-2023,,DTDC,In Transit
343,343,16-03-2025,,Delhivery,Pending
344,344,05-05-2025,,Delhivery,Delivered
345,345,06-08-2024,11-08-2024,India Post,Returned
346,346,28-01-2023,,India Post,Pending
347,347,30-03-2023,,India Post,Pending
348,348,30-07-2025,,Bluedart,Delivered
349,349,06-01-2025,,DTDC,Delivered
350,350,17-12-2024,,Xpressbees,Delivered
351,351,,,,Cancelled
352,352,02-08-2025,,Ekart,In Transit
353,353,22-03-2025,29-03-2025,DTDC,Returned
354,354,28-08-2025,,India Post,In Transit
355,355,,,,Cancelled
356,356,09-04-2025,,Amazon Logistics,Delivered
357,357,26-11-2023,,DTDC,Delivered
358,358,23-10-2025,,Xpressbees,Delivered
359,359,03-05-2024,08-05-2024,Xpressbees,Returned
360,360,13-05-2025,,Bluedart,In Transit
361,361,24-08-2023,,Xpressbees,Pending
362,362,,,,Cancelled
363,363,10-08-2023,,Delhivery,Delivered
364,364,19-02-2024,,Amazon Logistics,Pending
365,365,20-06-2025,,Xpressbees,Delivered
366,366,02-12-2023,,Ekart,Delivered
367,367,01-07-2023,,India Post,Delivered
368,368,,,,Cancelled
369,369,,,,Cancelled
370,370,18-01-2024,,Amazon Logistics,Delivered
371,371,,,,Cancelled
372,372,05-01-2025,,Bluedart,Pending
373,373,27-05-2025,,Xpressbees,Delivered
374,374,21-09-2023,,Ekart,Delivered
375,375,03-09-2023,,Amazon Logistics,Delivered
376,376,13-11-2024,,DTDC,In Transit
377,377,03-06-2024,,Bluedart,Delivered
378,378,24-11-2023,,Delhivery,Delivered
379,379,28-11-2025,04-12-2025,Ekart,Returned
380,380,28-04-2023,,Amazon Logistics,Pending
381,381,,,,Cancelled
382,382,,,,Cancelled
383,383,,,,Cancelled
384,384,11-05-2023,,Xpressbees,Delivered
385,385,19-03-2023,01-04-2023,Ekart,Returned
386,386,17-06-2023,,Delhivery,Delivered
387,387,09-07-2024,,Xpressbees,Delivered
388,388,,,,Cancelled
389,389,06-06-2025,,Delhivery,Delivered
390,390,17-02-2023,,Amazon Logistics,Delivered
391,391,02-01-2026,,Bluedart,Pending
392,392,19-04-2023,,Amazon Logistics,Delivered
393,393,04-06-2025,,India Post,Delivered
394,394,,,,Cancelled
395,395,25-12-2024,29-12-2024,Bluedart,Returned
396,396,30-04-2023,,Amazon Logistics,Delivered
397,397,24-01-2023,,Delhivery,Delivered
398,398,04-02-2023,,Delhivery,Delivered
399,399,28-04-2023,,DTDC,Delivered
400,400,,,,Cancelled
401,401,17-05-2024,31-05-2024,DTDC,Returned
402,402,10-09-2025,,Amazon Logistics,Delivered
403,403,28-05-2024,,Bluedart,Pending
404,404,05-01-2025,,Ekart,In Transit
405,405,24-01-2025,,DTDC,Delivered
406,406,15-12-2025,,Ekart,Delivered
407,407,26-04-2023,,Xpressbees,Pending
408,408,28-07-2024,,Bluedart,Delivered
409,409,07-12-2025,,DTDC,Delivered
410,410,12-09-2023,,Amazon Logistics,Delivered
411,411,27-04-2024,,Amazon Logistics,Delivered
412,412,17-02-2023,,Amazon Logistics,In Transit
413,413,25-07-2024,,Amazon Logistics,Delivered
414,414,05-05-2023,19-05-2023,Ekart,Returned
415,415,12-10-2025,24-10-2025,Ekart,Returned
416,416,29-06-2025,,DTDC,Delivered
417,417,18-02-2025,,Ekart,Delivered
418,418,,,,Cancelled
419,419,28-02-2023,,Amazon Logistics,Delivered
420,420,03-03-2023,13-03-2023,Ekart,Returned
421,421,27-05-2025,06-06-2025,Bluedart,Returned
422,422,12-08-2024,21-08-2024,Xpressbees,Returned
423,423,03-12-2025,18-12-2025,Bluedart,Returned
424,424,19-08-2025,,Delhivery,Delivered
425,425,02-08-2024,,Bluedart,Delivered
426,426,01-09-2024,08-09-2024,Ekart,Returned
427,427,22-03-2023,,Amazon Logistics,In Transit
428,428,29-05-2024,,Amazon Logistics,In Transit
429,429,23-10-2024,,India Post,Pending
430,430,10-08-2025,,India Post,Delivered
431,431,17-08-2025,,Ekart,Pending
432,432,25-03-2024,,Amazon Logistics,Delivered
433,433,21-07-2024,,DTDC,Delivered
434,434,25-06-2025,,Amazon Logistics,In Transit
435,435,16-06-2024,,DTDC,Delivered
436,436,26-12-2023,,Bluedart,Delivered
437,437,24-04-2024,,India Post,Delivered
438,438,,,,Cancelled
439,439,31-03-2023,,India Post,In Transit
440,440,12-06-2024,,DTDC,Delivered
441,441,26-04-2024,,Ekart,Delivered
442,442,05-11-2025,,Amazon Logistics,Delivered
443,443,,,,Cancelled
444,444,04-05-2025,,Xpressbees,In Transit
445,445,,,,Cancelled
446,446,21-11-2024,,Amazon Logistics,Pending
447,447,,,,Cancelled
448,448,06-04-2023,,Amazon Logistics,Delivered
449,449,,,,Cancelled
450,450,17-03-2024,,Amazon Logistics,Delivered
451,451,06-11-2023,,Xpressbees,Delivered
452,452,06-04-2024,11-04-2024,India Post,Returned
453,453,07-09-2023,,Bluedart,Pending
454,454,,,,Cancelled
455,455,10-07-2024,,Xpressbees,In Transit
456,456,,,,Cancelled
457,457,22-04-2024,,Amazon Logistics,Delivered
458,458,,,,Cancelled
459,459,14-06-2023,,Xpressbees,Delivered
460,460,12-01-2025,,Amazon Logistics,Delivered
461,461,09-07-2025,,Xpressbees,Delivered
462,462,21-05-2024,,Amazon Logistics,Delivered
463,463,,,,Cancelled
464,464,04-09-2023,10-09-2023,Xpressbees,Returned
465,465,03-11-2025,,India Post,Pending
466,466,15-02-2024,,Amazon Logistics,Delivered
467,467,09-12-2023,,Xpressbees,In Transit
468,468,24-08-2025,,Ekart,Delivered
469,469,06-06-2025,,DTDC,Delivered
470,470,04-10-2023,14-10-2023,Xpressbees,Returned
471,471,15-05-2025,18-05-2025,Xpressbees,Returned
472,472,,,,Cancelled
473,473,23-11-2024,,DTDC,Delivered
474,474,30-12-2024,,Amazon Logistics,Pending
475,475,12-06-2025,,Xpressbees,Delivered
476,476,15-01-2024,,Bluedart,Delivered
477,477,18-01-2023,29-01-2023,Bluedart,Returned
478,478,20-10-2024,,Delhivery,In Transit
479,479,19-07-2023,,DTDC,Pending
480,480,03-12-2024,10-12-2024,Xpressbees,Returned
481,481,,,,Cancelled
482,482,06-01-2024,,Delhivery,Delivered
483,483,,,,Cancelled
484,484,27-07-2023,,Amazon Logistics,Delivered
485,485,04-09-2023,,Ekart,Pending
486,486,19-06-2025,,Amazon Logistics,In Transit
487,487,16-06-2024,,Xpressbees,In Transit
488,488,20-10-2023,,Amazon Logistics,Delivered
489,489,28-02-2023,,Xpressbees,Delivered
490,490,,,,Cancelled
491,491,24-02-2024,02-03-2024,Xpressbees,Returned
492,492,05-07-2025,,Ekart,Pending
493,493,30-08-2024,,Delhivery,Pending
494,494,05-06-2025,,Bluedart,Delivered
495,495,,,,Cancelled
496,496,,,,Cancelled
497,497,18-11-2023,,Xpressbees,In Transit
498,498,,,,Cancelled
499,499,,,,Cancelled
500,500,28-01-2024,,Xpressbees,Delivered
501,501,11-10-2023,,India Post,Delivered
502,502,02-07-2024,,Amazon Logistics,Pending
503,503,22-01-2024,,India Post,Delivered
504,504,15-02-2024,,Delhivery,Delivered
505,505,12-01-2023,,Xpressbees,Pending
506,506,06-03-2024,09-03-2024,Bluedart,Returned
507,507,25-06-2024,,Bluedart,Delivered
508,508,18-12-2024,,India Post,Delivered
509,509,08-09-2024,,Ekart,Pending
510,510,,,,Cancelled
511,511,14-09-2025,,Delhivery,Delivered
512,512,21-08-2023,,Bluedart,Pending
513,513,29-10-2024,,India Post,Delivered
514,514,31-12-2023,,India Post,Delivered
515,515,15-12-2024,,Delhivery,Pending
516,516,03-10-2025,,Ekart,Delivered
517,517,22-08-2024,,Amazon Logistics,Delivered
518,518,,,,Cancelled
519,519,21-06-2024,24-06-2024,Bluedart,Returned
520,520,25-06-2025,,Ekart,In Transit
521,521,23-04-2023,,India Post,Delivered
522,522,28-11-2024,,DTDC,Pending
523,523,21-04-2025,,Amazon Logistics,Delivered
524,524,,,,Cancelled
525,525,23-09-2023,,Xpressbees,Delivered
526,526,,,,Cancelled
527,527,14-05-2023,,Ekart,Delivered
528,528,15-01-2025,,Xpressbees,Delivered
529,529,25-03-2025,,Delhivery,Delivered
530,530,07-02-2025,,DTDC,Delivered
531,531,26-05-2024,,Bluedart,Delivered
532,532,19-12-2025,02-01-2026,Ekart,Returned
533,533,25-09-2025,,Amazon Logistics,In Transit
534,534,13-09-2024,,Bluedart,Delivered
535,535,16-03-2023,19-03-2023,Amazon Logistics,Returned
536,536,03-04-2025,,DTDC,Delivered
537,537,10-06-2023,16-06-2023,Amazon Logistics,Returned
538,538,16-02-2023,,Ekart,Delivered
539,539,19-07-2023,,Ekart,In Transit
540,540,28-10-2024,,Xpressbees,Delivered
541,541,14-09-2024,,Bluedart,Delivered
542,542,29-07-2023,,Ekart,Pending
543,543,11-02-2025,,India Post,Delivered
544,544,02-04-2024,,Xpressbees,In Transit
545,545,21-09-2025,,Xpressbees,Delivered
546,546,26-02-2025,11-03-2025,Delhivery,Returned
547,547,07-02-2025,,DTDC,Pending
548,548,04-04-2024,,India Post,Delivered
549,549,05-07-2025,,Delhivery,Delivered
550,550,02-10-2024,,Amazon Logistics,Delivered
551,551,19-07-2023,,Delhivery,Pending
552,552,31-05-2024,08-06-2024,Xpressbees,Returned
553,553,30-08-2025,,Xpressbees,Delivered
554,554,04-05-2023,17-05-2023,DTDC,Returned
555,555,02-10-2024,,India Post,Delivered
556,556,23-10-2024,,Ekart,In Transit
557,557,07-03-2024,,Ekart,Pending
558,558,07-10-2024,,India Post,Pending
559,559,17-09-2025,,Bluedart,Delivered
560,560,08-08-2023,12-08-2023,Delhivery,Returned
561,561,20-09-2023,,Delhivery,Delivered
562,562,09-12-2023,,Ekart,Delivered
563,563,26-03-2023,,India Post,Delivered
564,564,15-12-2025,21-12-2025,India Post,Returned
565,565,30-03-2025,,DTDC,Delivered
566,566,,,,Cancelled
567,567,02-02-2025,,Bluedart,In Transit
568,568,,,,Cancelled
569,569,03-12-2025,,Xpressbees,Pending
570,570,11-03-2024,,Ekart,Delivered
571,571,,,,Cancelled
572,572,05-05-2025,,Xpressbees,Pending
573,573,23-05-2023,,India Post,Delivered
574,574,16-02-2024,,Bluedart,Pending
575,575,12-11-2024,,Xpressbees,Pending
576,576,20-11-2023,,Xpressbees,Delivered
577,577,12-12-2024,,Xpressbees,In Transit
578,578,08-08-2024,,Ekart,In Transit
579,579,25-01-2025,,Delhivery,Delivered
580,580,11-06-2023,,India Post,Delivered
581,581,28-07-2024,,Bluedart,Delivered
582,582,18-09-2023,02-10-2023,Amazon Logistics,Returned
583,583,09-11-2024,,India Post,Pending
584,584,05-03-2024,,Xpressbees,Delivered
585,585,22-03-2024,,Bluedart,Delivered
586,586,25-10-2023,,Ekart,Delivered
587,587,27-10-2024,,Xpressbees,Delivered
588,588,18-11-2025,,Delhivery,Pending
589,589,03-11-2024,,Bluedart,Delivered
590,590,13-05-2024,24-05-2024,Bluedart,Returned
591,591,,,,Cancelled
592,592,24-12-2025,,Bluedart,Delivered
593,593,10-12-2023,25-12-2023,Delhivery,Returned
594,594,25-06-2025,,Bluedart,Delivered
595,595,13-06-2025,,Ekart,Delivered
596,596,22-01-2025,02-02-2025,Xpressbees,Returned
597,597,,,,Cancelled
598,598,04-01-2024,,Xpressbees,Pending
599,599,14-01-2025,,DTDC,Delivered
600,600,,,,Cancelled
601,601,06-06-2024,,Xpressbees,In Transit
602,602,14-03-2023,27-03-2023,Delhivery,Returned
603,603,03-04-2023,,DTDC,Delivered
604,604,06-03-2023,,India Post,Pending
605,605,02-10-2025,,Xpressbees,Delivered
606,606,22-03-2023,,Xpressbees,Delivered
607,607,03-01-2024,14-01-2024,Amazon Logistics,Returned
608,608,03-09-2023,,Bluedart,Delivered
609,609,07-10-2024,,Xpressbees,In Transit
610,610,,,,Cancelled
611,611,17-12-2023,,Amazon Logistics,Delivered
612,612,10-04-2025,,Amazon Logistics,Delivered
613,613,03-02-2024,,India Post,In Transit
614,614,25-06-2023,,Ekart,Delivered
615,615,19-07-2024,23-07-2024,Delhivery,Returned
616,616,22-12-2023,,Amazon Logistics,In Transit
617,617,20-12-2024,,Delhivery,Pending
618,618,01-07-2023,,Amazon Logistics,Delivered
619,619,09-07-2023,,Xpressbees,Delivered
620,620,14-10-2024,,Bluedart,Delivered
621,621,22-03-2024,,Delhivery,Delivered
622,622,22-05-2024,,DTDC,Delivered
